中继架次编号,中继无人机编号,能源组件编号,候选点编号,开始时刻（s）,悬停经度（°）,悬停纬度（°）,悬停海拔（m）,建链完成时刻（s）,服务结束时刻（s）,返回O01时刻（s）,架次能耗（kWh）,返航SOC（%）
RLY-001,R01,R-MOD-01,C028-H200,0.0,109.19791666666667,23.02652777777778,597.0990295410156,588.7993405148437,1763.7226980050534,2181.638624314982,0.6552451743440566,79.52358830174823
RLY-002,R02,R-MOD-02,MC-early-R0615C0836H300,0.0,109.26513888888888,23.05375,604.8613891601562,737.2798411815793,3748.2183179815956,4315.261608259854,1.312009129164365,58.999714713613606
RLY-003,R01,R-MOD-03,C033-H300,2481.638624314982,109.27597222222222,23.019305555555555,624.4798278808594,3134.3283167862332,3748.2183179815956,4232.3063294429185,0.5278004816479407,83.50623494850186
RLY-004,R01,R-MOD-04,Q2-013-G01-R0587C0647H300,4532.3063294429185,109.21263888888889,23.06152777777778,544.9706420898438,5257.36333388114,6236.025492700809,6785.855050646517,0.6763075390748285,78.8653894039116
RLY-005,R02,R-MOD-05,C026-H200,4615.261608259854,109.19291666666666,23.029305555555556,514.2220458984375,5223.190356680457,10840.05812643877,11270.197045350908,2.0151526748083435,37.02647891223927
RLY-006,R01,R-MOD-06,C004-H300,7085.855050646517,109.22819444444444,23.056250000000002,468.7893524169922,7734.061177956765,10840.05812643877,11306.688366450433,1.268426032770244,60.36168647592988
