物资类型,货箱数量（箱）,总质量（kg）,总体积（m³）
医疗物资,16,48.0,0.19200000000000003
饮用水,36,504.0,0.9720000000000006
应急食品,19,152.0,0.5320000000000003
生活卫生用品,9,54.0,0.31500000000000006
