随机种子,及时性损失（加权s）,运输完成时间（s）,总能耗（kWh）,架次数,多点架次数,分层主方案
20260925,73062.00919624596,8969.833443696296,59.55623486156602,18,0,True
20260927,73697.27515527279,8948.657911728735,59.55623486156602,18,0,False
20260926,77867.26209513129,8877.101337696538,59.556234861566026,18,0,False
