trip_id,drone_id,time_seconds,phase,lon,lat,alt_m,distance_3d_km,terrain_obstructed,fspl_db,obstruction_loss_db,path_loss_db,bidirectional_loss_limit_db,margin_db,available
Q2-001,U07,510.0,climb,109.2308517,23.0085095,127.7,0.019999999999999987,True,66.07482474751174,10.0,76.07482474751174,122.0,45.92517525248826,True
Q2-001,U07,515.0,climb,109.2308517,23.0085095,140.2,0.0075,False,57.55545010206612,0.0,57.55545010206612,122.0,64.44454989793388,True
Q2-001,U07,520.0,climb,109.2308517,23.0085095,152.7,0.005,False,54.03362492095249,0.0,54.03362492095249,122.0,67.96637507904751,True
Q2-001,U07,525.0,climb,109.2308517,23.0085095,165.2,0.0175,False,64.914985807958,0.0,64.914985807958,122.0,57.085014192041996,True
Q2-001,U07,530.0,climb,109.2308517,23.0085095,177.7,0.03,False,69.59664992862537,0.0,69.59664992862537,122.0,52.40335007137463,True
Q2-001,U07,535.0,climb,109.2308517,23.0085095,190.2,0.0425,False,72.62200343523835,0.0,72.62200343523835,122.0,49.377996564761645,True
Q2-001,U07,540.0,climb,109.2308517,23.0085095,202.7,0.055,False,74.861478624117,0.0,74.861478624117,122.0,47.138521375883,True
Q2-001,U07,545.0,climb,109.2308517,23.0085095,215.20000000000002,0.06750000000000003,False,76.64030029085262,0.0,76.64030029085262,122.0,45.35969970914738,True
Q2-001,U07,550.0,climb,109.2308517,23.0085095,227.7,0.08,False,78.11602457407099,0.0,78.11602457407099,122.0,43.88397542592901,True
Q2-001,U07,555.0,climb,109.2308517,23.0085095,240.2,0.0925,False,79.37705948901277,0.0,79.37705948901277,122.0,42.622940510987235,True
Q2-001,U07,560.0,climb,109.2308517,23.0085095,252.7,0.105,False,80.47801081563088,0.0,80.47801081563088,122.0,41.52198918436912,True
Q2-001,U07,565.0,climb,109.2308517,23.0085095,265.2,0.1175,False,81.45498216638723,0.0,81.45498216638723,122.0,40.545017833612775,True
Q2-001,U07,568.1426440429688,cruise,109.2308517,23.0085095,273.0566101074219,0.12535661010742188,False,82.01716962285145,0.0,82.01716962285145,122.0,39.982830377148545,True
Q2-001,U07,573.1426440429688,cruise,109.23115573452206,23.009125496407464,273.0566101074219,0.1460802537141398,False,83.34605512381907,0.0,83.34605512381907,122.0,38.65394487618093,True
