target_label,status,candidate_1,candidate_2,active_gap_ids,window_start_seconds,window_end_seconds
early,PASS,MC-early-R0615C0836H300,MC-early-R0715C0611H200,Q2-002-G01;Q2-004-G01;Q2-007-G01,1063.0,1287.0
middle,PASS,MC-middle-R0650C0869H300,MC-middle-R0680C0544H300,Q2-005-G01;Q2-006-G01;Q2-020-G01;Q2-021-G01,2582.0,2593.0
