图层,坐标记录数,要素数,最小经度（°）,最大经度（°）,最小纬度（°）,最大纬度（°）
道路,21015,1829,109.0328115,109.4450943,22.8615453,23.2247021
水系（线）,4570,101,109.0328115,109.4450943,22.8615453,23.2247021
水体（面）,4229,95,109.0328115,109.4415618,22.8615453,23.2231813
村镇点位,166,166,109.036,109.445,22.8624,23.2242
