参数类别,参数名称,符号,参数值
传播参数,载波频率（MHz）,f,2400
传播参数,系统损耗（dB）,Lsys,3
传播参数,地形遮挡附加损耗（dB）,Lobs,10
接收参数,接收灵敏度（dBm）,Psens,-98
接收参数,衰落裕量（dB）,M,8
运输无人机,发射功率（dBm）,Pt,20
运输无人机,天线增益（dBi）,G,3
中继接入端,发射功率（dBm）,Pt,20
中继接入端,天线增益（dBi）,G,6
中继回传端,发射功率（dBm）,Pt,19
中继回传端,天线增益（dBi）,G,8
固定网关 G01,发射功率（dBm）,Pt,27
固定网关 G01,天线增益（dBi）,G,12
固定网关 G01,天线离地高度（m）,hG,20
